iter	Passed	Remaining
0	142	142369
1	143	71842
2	145	48264
3	146	36473
4	147	29416
5	149	24717
6	150	21374
7	152	18864
8	153	16948
9	155	15383
10	156	14108
11	158	13042
12	159	12131
13	161	11353
14	162	10668
15	163	10065
16	165	9554
17	166	9089
18	168	8686
19	169	8312
20	171	7976
21	172	7670
22	174	7394
23	175	7131
24	176	6891
25	178	6670
26	179	6464
27	180	6279
28	182	6097
29	183	5934
30	184	5781
31	186	5633
32	187	5498
33	189	5370
34	190	5254
35	192	5141
36	193	5036
37	194	4935
38	196	4838
39	197	4741
40	198	4652
41	200	4566
42	201	4488
43	203	4413
44	204	4340
45	205	4267
46	207	4198
47	208	4135
48	209	4073
49	211	4013
50	213	3970
51	214	3913
52	216	3862
53	217	3815
54	219	3768
55	220	3723
56	222	3677
57	223	3632
58	225	3588
59	226	3544
60	227	3500
61	228	3459
62	230	3420
63	231	3383
64	232	3345
65	233	3311
66	235	3277
67	236	3244
68	238	3215
69	239	3182
70	240	3151
71	242	3121
72	243	3093
73	244	3064
74	246	3036
75	247	3008
76	248	2981
77	250	2955
78	251	2928
79	252	2903
80	253	2878
81	255	2855
82	255	2827
83	257	2806
84	258	2786
85	260	2768
86	262	2751
87	263	2730
88	264	2708
89	265	2689
90	267	2674
91	269	2657
92	270	2636
93	271	2616
94	273	2600
95	274	2585
96	275	2568
97	277	2551
98	278	2532
99	279	2516
100	280	2499
101	281	2482
102	283	2465
103	284	2448
104	285	2434
105	287	2421
106	288	2406
107	289	2390
108	290	2375
109	291	2362
110	293	2348
111	294	2333
112	295	2319
113	296	2306
114	298	2293
115	299	2281
116	300	2267
117	301	2254
118	302	2241
119	303	2228
120	305	2217
121	306	2203
122	307	2190
123	308	2178
124	309	2165
125	310	2156
126	312	2144
127	313	2133
128	314	2122
129	315	2111
130	316	2101
131	318	2092
132	319	2082
133	320	2072
134	321	2061
135	322	2051
136	324	2044
137	325	2035
138	327	2026
139	328	2017
140	330	2011
141	331	2000
142	332	1990
143	333	1980
144	334	1970
145	335	1963
146	337	1956
147	338	1947
148	339	1939
149	340	1931
150	342	1924
151	343	1916
152	344	1907
153	345	1898
154	346	1890
155	348	1884
156	349	1877
157	350	1869
158	351	1861
159	353	1853
160	353	1843
161	355	1838
162	356	1832
163	358	1825
164	359	1818
165	360	1812
166	362	1806
167	363	1799
168	364	1791
169	365	1785
170	366	1778
171	368	1772
172	369	1766
173	370	1758
174	371	1751
175	372	1745
176	374	1739
177	375	1732
178	376	1725
179	377	1719
